EXISTING  GENERATING  FACILITIES,,,,,,
RGGI Facility Name,ORISPL,Unit ID,NYISO Name,PTID,Notes,
23rd & 3rd ,7910,2301,Gowanus 5,24156,,
23rd & 3rd ,7910,2302,Gowanus 6,24157,,
AG-Energy,10803,1,n/a,999999999,Closed in 2014,
AG-Energy,10803,2,n/a,999999999,Closed in 2014,
Allegany Station No. 133,10619,1,Allegany,23514,,
Arthur Kill,2490,20,Arthur Kill ST 2,23512,,
Arthur Kill,2490,30,Arthur Kill ST 3,23513,,
Astoria Energy,55375,CT1,Astoria East Energy - CC1,323681,,
Astoria Energy,55375,CT2,Astoria East Energy - CC2,323682,,
Astoria Energy,55375,CT3,Astoria Energy 2 - CC3,323677,,
Astoria Energy,55375,CT4,Astoria Energy 2 - CC4,323678,,
Astoria Gas Turbine Power,55243,CT2-1A,Astoria GT 2-1,24094,,
Astoria Gas Turbine Power,55243,CT2-1B,Astoria GT 2-1,24094,,
Astoria Gas Turbine Power,55243,CT2-2A,Astoria GT 2-2,24095,,
Astoria Gas Turbine Power,55243,CT2-2B,Astoria GT 2-2,24095,,
Astoria Gas Turbine Power,55243,CT2-3A,Astoria GT 2-3,24096,,
Astoria Gas Turbine Power,55243,CT2-3B,Astoria GT 2-3,24096,,
Astoria Gas Turbine Power,55243,CT2-4A,Astoria GT 2-4,24097,,
Astoria Gas Turbine Power,55243,CT2-4B,Astoria GT 2-4,24097,,
Astoria Gas Turbine Power,55243,CT3-1A,Astoria GT 3-1,24098,,
Astoria Gas Turbine Power,55243,CT3-1B,Astoria GT 3-1,24098,,
Astoria Gas Turbine Power,55243,CT3-2A,Astoria GT 3-2,24099,,
Astoria Gas Turbine Power,55243,CT3-2B,Astoria GT 3-2,24099,,
Astoria Gas Turbine Power,55243,CT3-3A,Astoria GT 3-3,24100,,
Astoria Gas Turbine Power,55243,CT3-3B,Astoria GT 3-3,24100,,
Astoria Gas Turbine Power,55243,CT3-4A,Astoria GT 3-4,24101,,
Astoria Gas Turbine Power,55243,CT3-4B,Astoria GT 3-4,24101,,
Astoria Gas Turbine Power,55243,CT4-1A,Astoria GT 4-1,24102,,
Astoria Gas Turbine Power,55243,CT4-1B,Astoria GT 4-1,24102,,
Astoria Gas Turbine Power,55243,CT4-2A,Astoria GT 4-2,24103,,
Astoria Gas Turbine Power,55243,CT4-2B,Astoria GT 4-2,24103,,
Astoria Gas Turbine Power,55243,CT4-3A,Astoria GT 4-3,24104,,
Astoria Gas Turbine Power,55243,CT4-3B,Astoria GT 4-3,24104,,
Astoria Gas Turbine Power,55243,CT4-4A,Astoria GT 4-4,24105,,
Astoria Gas Turbine Power,55243,CT4-4B,Astoria GT 4-4,24105,,
Astoria Generating Station,8906,20,Astoria 2,24149,,
Astoria Generating Station,8906,31RH,Astoria 3,23516,,
Astoria Generating Station,8906,32SH,Astoria 3,23516,,
Astoria Generating Station,8906,41SH,Astoria 4,999999999,Mothballed in 2012,
Astoria Generating Station,8906,42RH,Astoria 4,999999999,Mothballed in 2012,
Astoria Generating Station,8906,51RH,Astoria 5,23518,,
Astoria Generating Station,8906,52SH,Astoria 5,23518,,
Athens Generating Company,55405,1,Athens 1,23668,,
Athens Generating Company,55405,2,Athens 2,23670,,
Athens Generating Company,55405,3,Athens 3,23677,,
Batavia Energy,54593,1,Batavia,24024,,
Bayswater Peaking Facility,55699,1,Far Rockaway GT1,24212,,
Bayswater Peaking Facility,55699,2,Far Rockaway GT2,23815,,
Beaver Falls LLC,10617,1,Beaver Falls,23983,,
Bethlehem Energy Center (Albany),2539,10001,Bethlehem Energy Center,323570,,
Bethlehem Energy Center (Albany),2539,10002,Bethlehem Energy Center,323570,,
Bethlehem Energy Center (Albany),2539,10003,Bethlehem Energy Center,323570,,
Bethpage Energy Center,50292,GT1,Bethpage,23823,Not sure about this,
Bethpage Energy Center,50292,GT2,Bethpage,23823,Not sure about this,
Bethpage Energy Center,50292,GT3,Bethpage GT4,323586,Not sure about this,
Bethpage Energy Center,50292,GT4,Bethpage 3,323564,Not sure about this,
Binghamton Cogen Plant,50600,1,Binghamton,23790,Retired 1/9/18,
Black River Generation LLC,10464,E0001,Fort Drum,23780,,
Black River Generation LLC,10464,E0002,Fort Drum,23780,,
Black River Generation LLC,10464,E0003,Fort Drum,23780,,
Bowline Generation Station,2625,1,Bowline 1,23526,,
Bowline Generation Station,2625,2,Bowline 2,23595,,
Brentwood,7912,BW01,Brentwood,24164,,
Brooklyn Navy Yard Cogeneration,54914,1,Brooklyn Navy Yard,23515,,
Brooklyn Navy Yard Cogeneration,54914,2,Brooklyn Navy Yard,23515,,
Caithness Long Island Energy Center,56234,1,Caithness_CC_1,323624,,
Carr Street Generation Station,50978,A,Carr St.-E. Syr,24060,,
Carr Street Generation Station,50978,B,Carr St.-E. Syr,24060,,
Carthage Energy,10620,1,Carthage Energy,23857,,
Castleton Power LLC,10190,1,Castleton Energy Center,23900,,
Cayuga Operating Company LLC,2535,1,Cayuga 1,23584,,
Cayuga Operating Company LLC,2535,2,Cayuga 2,23585,IIFO-7/1/18,
Carles Poletti,2491,1,n/a,999999999,Poletti was torn down in 2013,
Covanta Niagra,50472,R1B01,American Ref-Fuel 1,24010,,
Covanta Niagra,50472,R1B02,American Ref-Fuel 2,24010,,
Danskammer Generating Station,2480,1,Danskammer 1,23586,,
Danskammer Generating Station,2480,2,Danskammer 2,23589,,
Danskammer Generating Station,2480,3,Danskammer 3,23590,,
Danskammer Generating Station,2480,4,Danskammer 4,23591,,
E F Barrett,2511,10,Barrett ST 01,23545,Exact match,
E F Barrett,2511,20,Barrett ST 02,23546,Exact match,
E F Barrett,2511,U00012,Barrett GT 01,23704,Impossible to match these units exactly,
E F Barrett,2511,U00013,Barrett GT 02,23705,Impossible to match these units exactly,
E F Barrett,2511,U00014,Barrett 03,23706,Impossible to match these units exactly,
E F Barrett,2511,U00015,Barrett 04,23707,Impossible to match these units exactly,
E F Barrett,2511,U00016,Barrett 05,23708,Impossible to match these units exactly,
E F Barrett,2511,U00017,Barrett 06,23709,Impossible to match these units exactly,
E F Barrett,2511,U00019,Barrett 08,23711,Impossible to match these units exactly,
E F Barrett,2511,n/a,Barrett 09,23700,Impossible to match these units exactly,
E F Barrett,2511,n/a,Barrett 10,23701,Impossible to match these units exactly,
E F Barrett,2511,n/a,Barrett 11,23702,Impossible to match these units exactly,
E F Barrett,2511,n/a,Barrett 12,23703,Impossible to match these units exactly,
East River,2493,1,East River 1,323558,,
East River,2493,2,East River 2,323559,,
East River,2493,60,East River 60,23660,,
East River,2493,70,East River 70,23524,,
Edgewood Energy,55786,CT01,Pilgrim GT1,24216,,
Edgewood Energy,55786,CT02,Pilgrim GT2,24217,,
Empire Generating Co LLC,56259,CT-1,EMPIRE_CC_1,323656,,
